Catalogue ID,Churchwell ID,l,b,Effective Radius (arcmin),Thickness (arcmin),Eccentricity,Position Angle (deg),Hit Rate,Dispersion (arcmin),Hierarchy Flag
MWP1G004565-001150,CN63,4.565,-0.115,1.58,1.28,0.24,21,0.19,0.01,1
MWP1G021690+000707,,21.69,0.071,0.84,0.67,0.25,25,0.19,0.0030,
MWP1G036500+000728,,36.5,0.073,1.15,1.04,0.38,16,0.19,0.0060,
MWP1G330126+007366,,330.126,0.737,7.55,6.93,0.09,31,0.19,0.036,1
MWP1G010888-000505,,10.888,-0.051,0.41,0.44,0.41,0,0.19,0.0030,
MWP1G030110-003340,,30.11,-0.334,0.99,0.84,0.22,83,0.19,0.0040,
MWP1G311190+007536,S136,311.19,0.754,0.8,0.78,0.44,27,0.19,0.0080,2
MWP1G353035+007433,,353.035,0.743,1.7,2.01,0.56,20,0.19,0.01,2
MWP1G044512+003691,,44.512,0.369,1.05,0.89,0.33,27,0.19,0.011,
MWP1G351287+009263,,351.287,0.926,3.24,2.5,0.23,18,0.19,0.023,
MWP1G327236-002383,,327.236,-0.238,0.48,0.63,0.55,16,0.19,0.0010,
MWP1G330741-004484,,330.741,-0.448,1.88,1.38,0.34,24,0.19,0.013,2
MWP1G325098+000328,,325.098,0.033,0.86,0.81,0.33,29,0.19,0.0040,2
MWP1G051620-003819,,51.62,-0.382,1.53,1.23,0.44,85,0.19,0.0040,
MWP1G344451-006130,,344.451,-0.613,0.73,0.97,0.7,54,0.19,0.0040,2
MWP1G049593-004578,,49.593,-0.458,1.17,1.26,0.33,12,0.19,0.0040,2
MWP1G048989-005101,,48.989,-0.51,1.41,1.27,0.42,14,0.19,0.0060,
MWP1G354667+005315,,354.667,0.531,1.43,1.22,0.32,15,0.19,0.012,
MWP1G305553+000111,S149,305.553,0.011,0.51,0.62,0.12,1,0.19,0.0020,
MWP1G336938+002851,,336.938,0.285,2.27,2.67,0.21,38,0.19,0.0090,
MWP1G306306+003875,,306.306,0.387,0.56,0.58,0.12,64,0.19,0.0030,2
MWP1G011597+008805,,11.597,0.88,2.24,1.13,0.18,12,0.19,0.0050,
MWP1G333613-000408,,333.613,-0.041,0.61,0.76,0.51,46,0.19,0.0050,
MWP1G030250+000547,,30.25,0.055,0.4,0.42,0.27,12,0.19,0.0040,
MWP1G049625+004534,,49.625,0.453,3.17,1.73,0.5,42,0.19,0.02,
